loan_part_id,due_date,pay_principal,pay_interest,lender_fee,borrower,status,annualised_rate,credit_band
19671019,2019-05-05,0.58,0.06,0.01,Expansion And Growth Loan,live,8.5,A (Low risk)
19671019,2019-06-05,0.58,0.05,0.0,Expansion And Growth Loan,live,8.5,A (Low risk)
19750239,2017-06-09,0.48,0.14,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2017-07-09,0.5,0.13,0.02,Working Capital Loan,live,8.5,A (Low risk)
19750239,2017-08-09,0.49,0.14,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2017-09-09,0.5,0.13,0.02,Working Capital Loan,live,8.5,A (Low risk)
19750239,2017-10-09,0.51,0.13,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2017-11-09,0.51,0.12,0.02,Working Capital Loan,live,8.5,A (Low risk)
19750239,2017-12-09,0.51,0.12,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-01-09,0.51,0.12,0.02,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-02-09,0.52,0.11,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-03-09,0.52,0.11,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-04-09,0.53,0.11,0.02,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-05-09,0.53,0.1,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-06-09,0.53,0.1,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-07-09,0.54,0.09,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-08-09,0.54,0.09,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-09-09,0.54,0.09,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-10-09,0.55,0.08,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-11-09,0.55,0.08,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2018-12-09,0.56,0.08,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-01-09,0.56,0.07,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-02-09,0.56,0.07,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-03-09,0.57,0.06,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-04-09,0.57,0.06,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-05-09,0.58,0.06,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-06-09,0.58,0.05,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-07-09,0.58,0.04,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-08-09,0.59,0.05,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-09-09,0.59,0.04,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-10-09,0.6,0.03,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-11-09,0.6,0.03,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2019-12-09,0.6,0.03,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2020-01-09,0.61,0.02,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2020-02-09,0.62,0.02,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2020-03-09,0.62,0.01,0.0,Working Capital Loan,live,8.5,A (Low risk)
19750239,2020-04-09,0.62,0.01,0.01,Working Capital Loan,live,8.5,A (Low risk)
19750239,2020-05-09,0.63,0.0,0.0,Working Capital Loan,live,8.5,A (Low risk)
